cod_spx,cod_fai_existente,descricao_existente,cod_fai_novo,descricao_nova
H175839,104126,"KIT DE VEDACAO VALV. SW 43 1,5 COD H175839 / BUCHA H207154 / VEDACAO DO EIXO H161940",69281,"KIT VED. EPDM H175839 P/ VALV. SW 43/44/40 1.1/2"""
H328463,104005,KIT P/ VALV.ASSEP.MSP-4 - VED. PTFE H328463 E ATUADOR PNEUM. H171379 P/ VALV SDE4 110,70316,KIT VED. PTFE H328463 P/ VALV.ASSEP.MSP-4
